% Mammography dataset
% 
% Past Usage:
% 
%   1. Woods, K., Doss, C., Bowyer, K., Solka, J., Priebe, C., & Kegelmeyer, P. (1993). Comparative
%      Evaluation of Pattern Recognition Techniques for Detection of Microcalcifications
%      in Mammography. International Journal of Pattern Recognition and Artificial Intelligence,
%      7(6), 1417-1436.
% 
%   2. Chawla, N., Bowyer, K., Hall, L., & Kegelmeyer, P. (2000). SMOTE: Synthetic Minority Over-sampling TEchnique.
%      In International Conference of Knowledge Based Computer Systems, pp. 46-57. National Center for Software Technology,
%      Mumbai, India, Allied Press.
% 
@RELATION mammography

@ATTRIBUTE attr1 NUMERIC
@ATTRIBUTE attr2 NUMERIC
@ATTRIBUTE attr3 NUMERIC
@ATTRIBUTE attr4 NUMERIC
@ATTRIBUTE attr5 NUMERIC
@ATTRIBUTE attr6 NUMERIC
@ATTRIBUTE class {-1, 1}

@DATA
0.13770591,-0.24459162,-0.0055711987,-0.85955255,-0.37786573,-0.94572324,-1
-0.4778317,-0.27998044,6.7566627,-0.0076469907,-0.37786573,1.132403,-1
-0.78441482,-0.44365372,3.6911167,-0.85955255,-0.37786573,-0.94572324,-1
0.051320607,-0.36402888,-0.36622367,0.95438603,1.7116411,1.3091351,-1
1.0769343,1.4186828,-0.14081588,0.94594714,-0.37786573,0.49860494,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
0.18581066,-0.18266119,-0.36622367,1.3615623,-0.37786573,1.1781095,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
0.33673086,-0.17823759,0.67065219,0.1712574,2.0104713,0.92215265,-1
0.6382325,2.6042082,-0.27606055,0.45269425,-0.37786573,0.26702489,-1
0.090278684,-0.45250093,-0.18589744,-0.85955255,-0.37786573,-0.94572324,-1
-0.028966906,-0.36845248,-0.32114211,0.85691689,1.8356049,1.537668,1
0.018290934,-0.24459162,-0.14081588,0.64130335,1.1084163,1.2969467,-1
-0.11806233,-0.36845248,0.40016284,1.0282263,-0.37786573,0.85816343,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
1.4680395,-0.29767485,-0.50146835,1.2408862,2.5325682,0.69971393,1
1.5879626,-0.45250093,-0.32114211,-0.85955255,-0.37786573,-0.94572324,-1
0.12144514,-0.24901522,0.2198366,1.0176777,-0.37786573,0.87949317,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
0.94142796,2.0379871,-0.14081588,1.2721101,-0.37786573,0.72713788,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
-0.19021947,-0.32864006,0.35508128,2.4860439,-0.37786573,1.0745079,-1
0.039802568,-0.10303635,2.4739146,0.75396248,0.34079529,0.84597501,-1
-0.061149665,-0.45250093,-0.36622367,-0.85955255,-0.37786573,-0.94572324,-1
